time,Longitude,Latitude,Altitude (m),Speed (km/h),Total Distance (km)
51:15.0,-1.890763,52.486432,121.6,3.6,0.0
51:16.0,-1.890756,52.486444,121.6,5.0,0.001
51:17.0,-1.890749,52.486457,121.6,5.0,0.003
51:18.0,-1.890741,52.486469,121.6,4.8,0.004
51:19.0,-1.890734,52.486481,121.6,4.8,0.006
51:20.0,-1.890727,52.486493,121.5,4.7,0.007
51:21.0,-1.890719,52.486505,121.5,5.0,0.008
51:22.0,-1.890712,52.486518,121.5,5.0,0.01
51:23.0,-1.890705,52.48653,121.6,4.7,0.011
51:24.0,-1.890697,52.486542,121.7,4.9,0.012
51:25.0,-1.89069,52.486554,121.7,4.8,0.014
51:26.0,-1.890686,52.486562,121.8,4.7,0.015
51:34.0,-1.890626,52.486661,121.9,4.6,0.026
51:35.0,-1.890619,52.486673,122.0,4.9,0.027
51:36.0,-1.890611,52.486685,122.0,4.8,0.028
51:37.0,-1.890604,52.486698,122.0,5.0,0.03
51:38.0,-1.890597,52.48671,122.2,4.8,0.031
51:39.0,-1.89059,52.486721,122.3,4.8,0.032
51:40.0,-1.890583,52.486733,122.4,4.8,0.034
51:41.0,-1.890575,52.486746,122.3,4.8,0.035
51:42.0,-1.890568,52.486757,122.4,4.6,0.036
51:43.0,-1.890562,52.486768,122.5,4.5,0.037
51:44.0,-1.890555,52.48678,122.6,4.7,0.039
51:45.0,-1.890552,52.486785,122.4,4.8,0.039
51:54.0,-1.890483,52.486899,122.3,5.0,0.052
51:55.0,-1.890475,52.486912,122.3,5.1,0.053
51:56.0,-1.890468,52.486924,122.5,4.9,0.055
51:57.0,-1.890461,52.486935,122.4,4.5,0.056
51:58.0,-1.890454,52.486947,122.5,4.8,0.057
51:59.0,-1.890447,52.48696,122.7,5.0,0.059
52:00.0,-1.890439,52.486972,122.6,4.8,0.06
52:01.0,-1.890432,52.486984,122.6,4.8,0.061
52:02.0,-1.890425,52.486995,122.7,4.6,0.063
52:03.0,-1.890419,52.487007,122.7,4.5,0.064
52:04.0,-1.890412,52.487018,122.6,4.5,0.065
52:05.0,-1.890409,52.487022,122.6,4.5,0.066
52:14.0,-1.890344,52.487131,122.6,4.2,0.078
52:15.0,-1.890337,52.487142,122.7,4.5,0.079
52:16.0,-1.89033,52.487154,122.8,4.9,0.08
52:17.0,-1.890323,52.487166,122.9,4.7,0.082
52:18.0,-1.890316,52.487178,123.0,4.6,0.083
52:19.0,-1.890309,52.48719,122.9,4.9,0.084
52:20.0,-1.890301,52.487202,122.8,4.9,0.086
52:21.0,-1.890294,52.487214,122.8,4.7,0.087
52:22.0,-1.890287,52.487225,122.8,4.7,0.088
52:23.0,-1.89028,52.487237,122.6,4.8,0.089
52:24.0,-1.890273,52.487249,122.5,4.7,0.091
52:25.0,-1.89027,52.487254,122.5,4.6,0.091
52:33.0,-1.890212,52.487352,122.6,4.6,0.102
52:34.0,-1.890204,52.487364,122.5,4.9,0.104
52:35.0,-1.890197,52.487376,122.6,4.7,0.105
52:36.0,-1.89019,52.487387,122.6,4.7,0.106
52:37.0,-1.890183,52.487399,122.6,4.8,0.107
52:38.0,-1.890176,52.487411,122.4,4.8,0.109
52:39.0,-1.890169,52.487423,122.3,4.9,0.11
52:40.0,-1.890161,52.487435,122.3,4.8,0.111
52:41.0,-1.890155,52.487447,122.5,4.4,0.113
52:42.0,-1.890147,52.487459,122.5,4.6,0.114
52:43.0,-1.89014,52.48747,122.5,4.6,0.115
52:44.0,-1.890134,52.48748,122.6,4.4,0.116
52:53.0,-1.89007,52.487587,122.6,4.6,0.128
52:54.0,-1.890063,52.487599,122.5,4.9,0.13
52:55.0,-1.890056,52.487611,122.6,4.6,0.131
52:56.0,-1.890049,52.487623,122.6,4.8,0.132
52:57.0,-1.890042,52.487635,122.6,4.7,0.134
52:58.0,-1.890035,52.487646,122.5,4.6,0.135
52:59.0,-1.890028,52.487657,122.5,4.5,0.136
53:00.0,-1.890021,52.487669,122.5,4.7,0.137
53:01.0,-1.890014,52.487681,122.4,4.7,0.139
53:02.0,-1.890007,52.487692,122.4,4.6,0.14
53:03.0,-1.890001,52.487703,122.4,4.5,0.141
53:04.0,-1.889996,52.487711,122.4,4.8,0.142
53:13.0,-1.889929,52.487823,122.3,4.9,0.155
53:14.0,-1.889921,52.487835,122.3,4.9,0.156
53:15.0,-1.889914,52.487847,122.2,4.8,0.157
53:16.0,-1.889907,52.487859,122.2,4.7,0.159
53:17.0,-1.8899,52.487871,122.1,4.7,0.16
53:18.0,-1.889893,52.487883,122.0,4.6,0.161
53:19.0,-1.889886,52.487894,122.0,4.6,0.162
53:20.0,-1.889879,52.487906,122.0,4.7,0.164
53:21.0,-1.889872,52.487917,122.0,4.4,0.165
53:22.0,-1.889865,52.487929,122.0,4.6,0.166
53:23.0,-1.889859,52.487939,121.9,4.8,0.167
53:31.0,-1.889801,52.488037,121.9,4.8,0.178
53:32.0,-1.889793,52.488049,122.0,4.8,0.18
53:33.0,-1.889786,52.488061,121.9,5.0,0.181
53:34.0,-1.889778,52.488074,121.7,4.8,0.182
53:35.0,-1.889771,52.488086,121.6,4.7,0.184
53:36.0,-1.889764,52.488097,121.8,4.6,0.185
53:37.0,-1.889757,52.488109,121.9,4.7,0.186
53:38.0,-1.88975,52.488121,122.0,4.7,0.188
53:39.0,-1.889743,52.488132,122.0,4.6,0.189
53:40.0,-1.889736,52.488144,122.1,4.9,0.19
53:41.0,-1.889728,52.488157,122.0,5.0,0.192
53:42.0,-1.889722,52.488168,121.9,4.8,0.193
53:50.0,-1.889663,52.488266,121.9,4.8,0.204
53:51.0,-1.889656,52.488278,122.0,4.6,0.205
53:52.0,-1.889649,52.48829,122.0,4.8,0.206
53:53.0,-1.889642,52.488302,122.0,4.7,0.208
53:54.0,-1.889635,52.488313,122.3,4.6,0.209
53:55.0,-1.889628,52.488325,122.3,4.7,0.21
53:56.0,-1.889621,52.488336,122.1,4.6,0.212
53:57.0,-1.889614,52.488348,122.1,4.6,0.213
53:58.0,-1.889607,52.48836,122.0,4.6,0.214
53:59.0,-1.8896,52.488371,122.0,4.6,0.215
54:00.0,-1.889593,52.488383,121.9,4.7,0.217
54:01.0,-1.889591,52.488385,121.8,4.7,0.217
54:10.0,-1.889521,52.488503,121.8,4.8,0.23
54:11.0,-1.889514,52.488515,121.9,4.7,0.231
54:12.0,-1.889507,52.488526,122.0,4.4,0.233
54:13.0,-1.8895,52.488538,122.0,4.9,0.234
54:14.0,-1.889493,52.48855,121.9,4.7,0.235
54:15.0,-1.889486,52.488561,121.9,4.6,0.236
