id,name,name_norm,uic,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport,entur_id,entur_is_enabled
1,London St-Pancras,London St-Pancras,7015400,51.531921,-0.126361,8267,GB,Europe/London,FALSE,TRUE,FALSE,NA,FALSE
2,Southampton Central,Southampton Central,7059320,50.907742,-1.413983,26787,GB,Europe/London,FALSE,TRUE,FALSE,NA,FALSE
3,Liverpool Central,Liverpool Central,7022420,53.40525,-2.977841,26753,GB,Europe/London,FALSE,TRUE,FALSE,NA,FALSE
4,Habrough,Habrough,7062810,53.605507,-0.267936,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
5,Barnetby,Barnetby,7064060,53.574219,-0.409679,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
6,Cupar,Cupar,7091210,56.317043,-3.008772,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
7,Eaglescliffe,Eaglescliffe,7079160,54.529449,-1.349426,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
8,Tonbridge,Tonbridge,7052290,51.191132,0.269715,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
9,Huntingdon,Huntingdon,7061080,52.328613,-0.192047,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
10,Inverkeithing,Inverkeithing,7091360,56.034725,-3.39621,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
11,Bognor Regis,Bognor Regis,7052530,50.786594,-0.676384,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
12,Forres,Forres,7086380,57.609661,-3.62847,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
13,Leuchars,Leuchars,7091880,56.375427,-2.893734,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
14,Llandudno,Llandudno,7024840,53.320911,-3.827043,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
15,Middlesbrough,Middlesbrough,7079290,54.579086,-1.232596,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
16,Montrose,Montrose,7090800,56.71286,-2.47207,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
17,New Pudsey,New Pudsey,7085060,53.804573,-1.679581,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
18,Newquay,Newquay,7035230,50.415245,-5.075769,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
19,Northallerton,Northallerton,7079960,54.333084,-1.441718,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
20,Paignton,Paignton,7034270,50.434658,-3.564361,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
21,Penzance,Penzance,7035260,50.12162,-5.532489,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
22,Retford,Retford,7065110,53.315872,-0.94772,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
23,Selby,Selby,7082010,53.78336,-1.06355,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
24,Scarborough,Scarborough,7081850,54.2798,-0.405666,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
25,Stockton Station,Stockton Station,7079750,54.56971,-1.31784,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
26,Stonehaven,Stonehaven,7089640,56.966888,-2.225286,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
27,Sunderland,Sunderland,7076400,54.90617,-1.382357,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
28,Thirsk,Thirsk,7081910,54.228489,-1.372573,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
29,Wakefield Westgate,Wakefield Westgate,7085910,53.681736,-1.506386,26800,GB,Europe/London,FALSE,TRUE,FALSE,NA,FALSE
30,Greenwich,Greenwich,7051460,51.477779,-0.014198,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
31,Falkirk High,Falkirk High,7099310,55.991863,-3.792276,26738,GB,Europe/London,FALSE,TRUE,FALSE,NA,FALSE
32,Gleneagles,Gleneagles,7087150,56.274902,-3.7312,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
33,Motherwell,Motherwell,7096910,55.791927,-3.995234,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
34,Perth,Perth,7088050,56.39275,-3.440068,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
35,Stirling,Stirling,7098880,56.119114,-3.934915,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
36,Portsmouth Harbour,Portsmouth Harbour,7055400,50.796097,-1.108895,26777,GB,Europe/London,FALSE,TRUE,FALSE,NA,FALSE
37,Hull,Hull,7081260,53.744144,-0.345645,8379,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
38,Wareham,Wareham,7059590,50.692425,-2.114646,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
39,Weymouth,Weymouth,7059650,50.61515,-2.455103,8380,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
40,Garve,Garve,7086400,57.613129,-4.688429,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
41,Winchester,Winchester,7059240,51.067303,-1.320628,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
42,Alfreton,Alfreton,7018050,53.100414,-1.369689,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
43,Leicester,Leicester,7019470,52.631397,-1.125274,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
44,Harwich International,Harwich International,7069020,51.947701,1.255167,26745,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
45,Bodmin Parkway,Bodmin Parkway,7035010,50.445822,-4.663026,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
46,Carmarthen,Carmarthen,7040680,51.853233,-4.305732,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
47,Liskeard,Liskeard,7035730,50.446711,-4.46753,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
48,Llanelli,Llanelli,7041330,51.673405,-4.162068,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
49,Lostwithiel,Lostwithiel,7035170,50.40744,-4.665497,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
50,Milford Haven,Milford Haven,7040950,51.715977,-5.041485,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
51,Neath,Neath,7042160,51.662315,-3.807267,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
52,Newbury Station,Newbury Station,7030740,51.397599,-1.322608,26766,GB,Europe/London,FALSE,TRUE,FALSE,NA,FALSE
53,Par,Par,7035240,50.355263,-4.704752,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
54,Pembroke Dock,Pembroke Dock,7041020,51.69434,-4.93729,26771,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
55,Port Talbot Parkway,Port Talbot Parkway,7041810,51.591671,-3.781362,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
56,Redruth,Redruth,7035300,50.233111,-5.225877,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
57,St Austell,St Austell,7035340,50.338863,-4.789557,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
58,St Erth,St Erth,7035370,50.171074,-5.443694,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
59,Taunton,Taunton,7034710,51.023613,-3.102146,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
60,Teignmouth,Teignmouth,7034300,50.547993,-3.494712,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
61,Tenby,Tenby,7041100,51.672897,-4.707348,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
62,Torquay,Torquay,7034340,50.461014,-3.544095,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
63,Totnes,Totnes,7035580,50.435623,-3.688317,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
64,Truro,Truro,7035400,50.263603,-5.063017,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
65,Westbury,Westbury,7057120,51.26693,-2.199202,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
66,Weston-Super-Mare,Weston-Super-Mare,7033910,51.34454,-2.972301,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
67,Worcester Shrub Hill,Worcester Shrub Hill,7048910,52.194817,-2.210642,26815,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
68,Alnmouth,Alnmouth,7077870,55.392456,-1.636858,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
69,Mexborough,Mexborough,7067070,53.490986,-1.28855,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
70,Pontefract Baghill,Pontefract Baghill,7085400,53.691517,-1.303355,26776,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
71,Rotherham Central,Rotherham Central,7066760,53.429356,-1.358811,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
72,Great Yarmouth,Great Yarmouth,7073280,52.612122,1.720949,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
73,Abergavenny,Abergavenny,7036020,51.81665,-3.009679,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
74,Evesham,Evesham,7047400,52.098793,-1.947413,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
75,Tiverton Parkway,Tiverton Parkway,7034740,50.917477,-3.359979,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
76,Kingham,Kingham,7030080,51.902222,-1.629331,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
77,Leamington Spa,Leamington Spa,7045970,52.284893,-1.536723,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
78,Moreton-In-Marsh,Moreton-In-Marsh,7048140,51.992336,-1.7014,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
79,Conisbrough,Conisbrough,7064880,53.48885,-1.234333,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
80,Stroud,Stroud,7047710,51.744358,-2.218673,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
81,Whitland,Whitland,7041110,51.817989,-4.614454,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
82,Norwich,Norwich,7073090,52.627121,1.306879,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
83,London Liverpool Street,London Liverpool Street,7069650,51.517551,-0.08021,8267,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
84,Bedford Station,Bedford Station,7015120,52.136175,-0.47945,26718,GB,Europe/London,FALSE,TRUE,FALSE,NA,FALSE
85,Bradford-On-Avon,Bradford-On-Avon,7033410,51.345058,-2.252669,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
86,Earlestown,Earlestown,7022920,53.451139,-2.637674,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
87,Kettering,Kettering,7018570,52.393177,-0.731724,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
88,Llandudno Junction,Llandudno Junction,7024850,53.283953,-3.809102,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
89,Long Eaton,Long Eaton,7018290,52.885105,-1.288114,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
90,Loughborough,Loughborough,7018970,52.779327,-1.194952,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
91,Luton,Luton,7015360,51.882233,-0.414881,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
92,Macclesfield,Macclesfield,7028710,53.259331,-2.121397,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
93,Oxenholme Lake District,Oxenholme Lake District,NA,54.305169,-2.722249,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
94,Prestatyn,Prestatyn,7025210,53.336491,-3.407164,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
95,Runcorn,Runcorn,7022910,53.338696,-2.73919,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
96,Rhyl,Rhyl,7024610,53.318409,-3.489144,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
97,Solihull,Solihull,7045270,52.415081,-1.78972,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
98,Stalybridge,Stalybridge,7029830,53.484471,-2.06264,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
99,Stoke-On-Trent,Stoke-On-Trent,7013140,53.008012,-2.181119,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
100,Water Orton,Water Orton,7011210,52.518379,-1.743538,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
101,Watford Junction,Watford Junction,7014020,51.663475,-0.396506,26806,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
102,Wigan North Western,Wigan North Western,7023630,53.543564,-2.632287,26810,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
103,Devils bridge,Devils bridge,7043260,NA,NA,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
104,Annan,Annan,7094510,54.98386,-3.262603,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
105,Ayr Station,Ayr Station,7094630,55.458248,-4.626878,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
106,Blair Atholl,Blair Atholl,7087500,56.765614,-3.85025,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
107,Carrbridge,Carrbridge,7086210,57.279873,-3.829541,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
108,Carstairs,Carstairs,7097040,55.69075,-3.668696,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
109,Dalwhinnie,Dalwhinnie,7086280,56.934334,-4.246498,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
110,Lincoln-St-Marks,Lincoln-St-Marks,7063160,NA,NA,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
111,Haymarket (Edinburgh),Haymarket (Edinburgh),7094190,55.945854,-3.218458,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
112,Kingussie,Kingussie,7086550,57.07785,-4.052227,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
113,Kirkconnel,Kirkconnel,7095180,55.38834,-3.998533,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
114,Bromley South,Bromley South,7050640,51.399887,0.018374,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
115,Linlithgow,Linlithgow,7094380,55.975689,-3.596,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
116,Lockerbie,Lockerbie,7096140,55.123085,-3.353242,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
117,Pitlochry,Pitlochry,7088010,56.70256,-3.736085,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
118,Stranraer,Stranraer,7095550,54.909626,-5.024806,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
119,Castle Cary,Castle Cary,7057030,51.099583,-2.522683,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
120,Charlbury,Charlbury,7030040,51.872929,-1.490133,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
121,Colwall,Colwall,7048760,52.080284,-2.357489,NA,GB,Europe/London,FALSE,FALSE,FALSE,NA,FALSE
